sku,category,label,priceEUR,glbPath,anchorTarget,localTransform
NONE,illumination,None,0,,,"{}"
LED-RING-V1,illumination,LED Ring V1,189,/models/illumination/M274_AC_0301_20_Beleuchtung_IlluminationCube.glb,LED_RING_ANCHOR,"{""tx"":0,""ty"":10,""tz"":0,""rx"":0,""ry"":0,""rz"":0,""s"":1}"
NONE,objective,None,0,,,"{}"
RMS-10X,objective,Objective 10x RMS,259,,OBJECTIVE_ANCHOR,"{""tx"":0,""ty"":0,""tz"":0,""rx"":0,""ry"":0,""rz"":0,""s"":1}"
RMS-40X,objective,Objective 40x RMS,389,,OBJECTIVE_ANCHOR,"{""tx"":0,""ty"":0,""tz"":0,""s"":1.2}"
NONE,objective2,None,0,,,"{}"
RMS-10X-2,objective2,Objective 10x RMS (Slot 2),259,/models/objectives/rms_10x.glb,OBJECTIVE2_ANCHOR,"{""tx"":50,""ty"":0,""tz"":0,""rx"":0,""ry"":0,""rz"":0,""s"":1}"
RMS-40X-2,objective2,Objective 40x RMS (Slot 2),389,/models/objectives/rms_40x.glb,OBJECTIVE2_ANCHOR,"{""tx"":50,""ty"":0,""tz"":0,""s"":1.2}"
NONE,stage,None,0,,,"{}"
STAGE-ILLU-ARM,stage,Illumination Arm,499,/models/stages/M274_AC_0301_20_Beleuchtung.glb,STAGE_ANCHOR,"{""tx"":0,""ty"":120,""tz"":-150,""rx"":-1.57,""ry"":0,""rz"":3.14,""s"":1}"
NONE,camera,None,0,,,"{}"
HIK CAM,camera,Raspberry Pi HQ,399,/models/cameras/pi_hq.glb,CAMERA_ANCHOR,"{""tx"":0,""ty"":20,""tz"":0,""rx"":0,""ry"":0,""rz"":0,""s"":1}"
DH-TELEDYNE-01,camera,Teledyne DH,5399,/models/cameras/dh_teledyne.glb,CAMERA_ANCHOR,"{""tx"":0,""ty"":25,""tz"":0,""s"":1.5}"
NONE,fluorescence,None,0,,,"{}"
EXC-488,fluorescence,488 nm Exciter,249,/models/fluorescence/exc_488.glb,FLUO_ANCHOR,"{""tx"":0,""ty"":0,""tz"":5,""s"":1}"
NONE,base,None,0,,,"{}"
BASE,base,Frame Base,7999,/models/base/M274_AC_0100_30_FiveD_base.glb,BASE_ANCHOR,"{""tx"":0,""ty"":0,""tz"":0,""rx"":-1.57,""ry"":0,""rz"":0,""s"":1}"
NONE,autofocus,None,0,,,"{}"
AUTOFOCUS-01,autofocus,Autofocus Module,2199,/models/autofocus/M274_AC_1000_Autofocus_Module_HIKCamera.glb,AUTOFOCUS_ANCHOR,"{""tx"":0,""ty"":150,""tz"":0,""rz"":-3.14,""rx"":-1.57,""s"":1}"
NONE,laser,None,0,,,"{}"
LASER-488,laser,488nm Laser,999,/models/laser/M274_AC_0401_20_Optikmodul1.glb,LASER_ANCHOR,"{""tx"":-120,""ty"":50,""tz"":0,""rz"":-1.57,""rx"":-1.57,""s"":1}"
LASER-635,laser,635nm Laser,999,/models/laser/M274_AC_0401_20_Optikmodul1.glb,LASER_ANCHOR,"{""tx"":-120,""ty"":50,""tz"":0,""rz"":-1.57,""rx"":-1.57,""s"":1}"
LASER-488-635,laser,488nm + 635nm Laser,1999,/models/laser/M274_AC_0401_20_Optikmodul1.glb,LASER_ANCHOR,"{""tx"":-120,""ty"":50,""tz"":0,""rz"":-1.57,""rx"":-1.57,""s"":1}"
NONE,sampleholder,None,0,,,"{}"
SAMPLE-4SLIDE,sampleholder,4-Slide Holder,199,/models/sampleholder/4sample.glb,SAMPLE_ANCHOR,"{""tx"":0,""ty"":0,""tz"":200,""s"":1}"
SAMPLE-MULTIWELL,sampleholder,Multiwell Plate,199,/models/sampleholder/wellplate.glb,SAMPLE_ANCHOR,"{""tx"":0,""ty"":0,""tz"":200,""s"":1}"
NONE,opticalmodule,None,0,,,"{}"
OPTICAL-BF,opticalmodule,Brightfield Module,999,/models/optical/BRILAY001+FLULAY001.glb,OPTICAL_ANCHOR,"{""tx"":50,""ty"":30,""tz"":80,""rz"":1.57,""rx"":-1.57,""s"":1}"
OPTICAL-BF-FLUO,opticalmodule,Brightfield + Fluorescence,1999,/models/optical/BRILAY001+FLULAY001.glb,OPTICAL_ANCHOR,"{""tx"":50,""ty"":30,""tz"":80,""rz"":1.57,""rx"":-1.57,""s"":1}"
OPTICAL-BF-FLIM,opticalmodule,Brightfield + FLIM,23999,/models/optical/BRILAY001+FLULAY001.glb,OPTICAL_ANCHOR,"{""tx"":50,""ty"":30,""tz"":80,""rz"":1.57,""rx"":-1.57,""s"":1}"
